20.0	0.40
20.5	0.40
20.9	0.41
21.4	0.41
21.9	0.41
22.4	0.41
23.0	0.41
23.5	0.41
24.1	0.42
24.6	0.42
25.2	0.42
25.8	0.42
26.4	0.42
27.0	0.43
27.6	0.43
28.3	0.43
28.9	0.43
29.6	0.43
30.3	0.44
31.0	0.44
31.7	0.44
32.5	0.44
33.2	0.44
34.0	0.45
34.8	0.45
35.6	0.45
36.5	0.45
37.3	0.45
38.2	0.46
39.1	0.46
40.0	0.46
40.9	0.46
41.9	0.46
42.9	0.47
43.9	0.43
44.9	0.40
45.9	0.38
47.0	0.36
48.1	0.35
49.2	0.35
50.4	0.33
51.6	0.33
52.8	0.33
54.0	0.34
55.3	0.34
56.6	0.34
57.9	0.34
59.2	0.34
60.6	0.34
62.0	0.34
63.5	0.33
65.0	0.30
66.5	0.28
68.0	0.24
69.6	0.20
71.3	0.15
72.9	0.10
74.6	0.06
76.4	0.00
78.2	-0.04
80.0	-0.08
81.9	-0.11
83.8	-0.12
85.7	-0.13
87.7	-0.14
89.8	-0.13
91.9	-0.13
94.0	-0.11
96.2	-0.11
98.5	-0.09
100.8	-0.08
103.1	-0.07
105.5	-0.06
108.0	-0.05
110.5	-0.03
113.1	-0.02
115.8	0.00
118.5	0.00
121.2	0.01
124.1	0.02
127.0	0.03
129.9	0.02
133.0	0.02
136.1	0.01
139.3	0.00
142.5	-0.01
145.8	-0.02
149.3	-0.03
152.7	-0.03
156.3	-0.04
160.0	-0.04
163.7	-0.04
167.5	-0.04
171.5	-0.04
175.5	-0.04
179.6	-0.03
183.8	-0.04
188.1	-0.03
192.4	-0.02
196.9	-0.03
201.5	-0.03
206.3	-0.04
211.1	-0.04
216.0	-0.04
221.1	-0.05
226.2	-0.06
231.5	-0.05
236.9	-0.05
242.5	-0.04
248.1	-0.04
253.9	-0.02
259.9	-0.01
265.9	0.01
272.2	0.03
278.5	0.04
285.0	0.04
291.7	0.04
298.5	0.02
305.5	0.01
312.6	-0.01
319.9	-0.03
327.4	-0.05
335.1	-0.06
342.9	-0.05
350.9	-0.05
359.1	-0.04
367.5	-0.03
376.1	-0.00
384.9	0.02
393.9	0.04
403.1	0.05
412.5	0.06
422.1	0.06
432.0	0.05
442.1	0.03
452.4	0.01
463.0	-0.00
473.8	-0.03
484.9	-0.05
496.2	-0.06
507.8	-0.06
519.7	-0.05
531.8	-0.03
544.3	0.00
557.0	0.04
570.0	0.07
583.3	0.11
597.0	0.16
610.9	0.19
625.2	0.21
639.8	0.23
654.8	0.23
670.1	0.22
685.7	0.22
701.7	0.20
718.1	0.19
734.9	0.17
752.1	0.17
769.7	0.16
787.7	0.18
806.1	0.19
824.9	0.21
844.2	0.23
863.9	0.24
884.1	0.25
904.8	0.27
925.9	0.29
947.6	0.31
969.7	0.32
992.4	0.34
1015.6	0.35
1039.3	0.38
1063.6	0.38
1088.5	0.39
1113.9	0.39
1139.9	0.39
1166.6	0.38
1193.8	0.36
1221.8	0.35
1250.3	0.33
1279.5	0.33
1309.4	0.31
1340.0	0.31
1371.4	0.30
1403.4	0.30
1436.2	0.29
1469.8	0.30
1504.1	0.29
1539.3	0.27
1575.3	0.27
1612.1	0.26
1649.7	0.25
1688.3	0.22
1727.8	0.21
1768.1	0.17
1809.5	0.13
1851.8	0.09
1895.0	0.06
1939.3	0.01
1984.7	-0.02
2031.0	-0.06
2078.5	-0.07
2127.1	-0.11
2176.8	-0.14
2227.7	-0.14
2279.7	-0.16
2333.0	-0.16
2387.6	-0.18
2443.4	-0.17
2500.5	-0.15
2558.9	-0.13
2618.7	-0.10
2679.9	-0.05
2742.5	-0.00
2806.6	0.05
2872.2	0.11
2939.4	0.17
3008.1	0.22
3078.4	0.25
3150.3	0.28
3223.9	0.30
3299.3	0.29
3376.4	0.29
3455.3	0.28
3536.1	0.26
3618.7	0.24
3703.3	0.21
3789.8	0.20
3878.4	0.18
3969.1	0.17
4061.8	0.17
4156.8	0.18
4253.9	0.21
4353.3	0.26
4455.1	0.32
4559.2	0.40
4665.8	0.47
4774.8	0.53
4886.4	0.58
5000.6	0.61
5117.5	0.62
5237.1	0.64
5359.5	0.67
5484.8	0.69
5612.9	0.73
5744.1	0.79
5878.4	0.83
6015.8	0.89
6156.4	0.96
6300.2	1.02
6447.5	1.07
6598.2	1.12
6752.4	1.17
6910.2	1.22
7071.7	1.28
7237.0	1.34
7406.1	1.39
7579.2	1.45
7756.4	1.49
7937.7	1.55
8123.2	1.59
8313.0	1.66
8507.3	1.71
8706.1	1.78
8909.6	1.84
9117.9	1.92
9331.0	1.98
9549.0	2.03
9772.2	2.07
10000.6	2.08
10234.3	2.09
10473.5	2.06
10718.3	2.03
10968.8	1.99
11225.2	1.92
11487.5	1.85
11756.0	1.78
12030.8	1.68
12312.0	1.58
12599.7	1.47
12894.2	1.33
13195.6	1.19
13504.0	1.02
13819.6	0.84
14142.6	0.66
14473.1	0.47
14811.4	0.27
15157.5	0.07
15511.8	-0.13
15874.3	-0.34
16245.3	-0.56
16625.0	-0.76
17013.6	-0.98
17411.2	-1.20
17818.2	-1.46
18234.6	-1.76
18660.8	-2.11
19096.9	-2.16
19543.2	-2.17
20000.0	-2.18
